,District,Type,Building Classification,Total Units,Gross Income per SqFt,Expense per SqFt,Net Operating Income,Market Value per SqFt
0,Manhattan,Condominium,R9-CONDOMINIUM,42,36.51,9.37,990610,200.0
1,Manhattan,Condominium,R4-CONDOMINIUM,78,52.47,13.94,4870962,242.76
2,Manhattan,Condominium,RR-CONDOMINIUM,500,31.24,6.39,13767000,164.15
3,Manhattan,Condominium,R4-CONDOMINIUM,282,47.28,11.18,8991643,271.23
4,Manhattan,Condominium,R4-CONDOMINIUM,239,45.58,12.68,7221385,247.48
5,Manhattan,Condominium,R4-CONDOMINIUM,133,36.7,10.72,3629899,191.37
6,Manhattan,Condominium,R4-CONDOMINIUM,109,41.58,12.13,3092250,211.53
7,Manhattan,Condominium,R4-CONDOMINIUM,107,41.58,12.13,2576257,222.33
8,Manhattan,Condominium,R4-CONDOMINIUM,247,43.96,9.54,8806185,259.21
9,Manhattan,Condominium,R4-CONDOMINIUM,121,38.78,11.6,2884587,205.62
10,Manhattan,Condominium,R4-CONDOMINIUM,154,41.58,12.13,3710936,222.34
11,Manhattan,Condominium,R4-CONDOMINIUM,546,41.58,12.13,17264297,222.02
12,Manhattan,Condominium,R4-CONDOMINIUM,182,38.78,11.6,5661077,205.61
13,Manhattan,Condominium,R4-CONDOMINIUM,293,39.8,12.62,9281671,205.46
14,Manhattan,Condominium,R4-CONDOMINIUM,117,45.58,12.68,8808086,231.99
15,Manhattan,Condominium,R4-CONDOMINIUM,234,41.78,12.27,12743127,207.68
16,Manhattan,Condominium,R4-CONDOMINIUM,304,45.58,12.68,8483199,247.48
17,Manhattan,Condominium,R4-CONDOMINIUM,256,45.58,12.68,14291694,231.54
18,Manhattan,Condominium,R4-CONDOMINIUM,174,42.28,10.51,7552523,239.97
19,Manhattan,Condominium,R4-CONDOMINIUM,13,41.51,11.79,1106654,224.38
20,Manhattan,Condominium,R4-CONDOMINIUM,452,45.93,11.87,10790548,256.13
21,Manhattan,Condominium,R4-CONDOMINIUM,162,42.28,10.51,7348401,186.9
22,Manhattan,Condominium,R4-CONDOMINIUM,320,41.58,12.13,14069649,222.23
23,Manhattan,Condominium,R4-CONDOMINIUM,382,42.28,10.51,20616379,239.72
24,Manhattan,Condominium,R4-CONDOMINIUM,107,48.88,12.37,5824952,273.77
25,Manhattan,Condominium,RR-CONDOMINIUM,350,38.96,9.15,10339000,225.7
26,Manhattan,Condominium,R4-CONDOMINIUM,126,33.76,10.27,2276228,174.36
27,Manhattan,Condominium,R9-CONDOMINIUM,40,22.83,9.09,898400,100.51
28,Manhattan,Condominium,R4-CONDOMINIUM,31,42.06,14.34,562937,184.71
29,Manhattan,Condominium,R4-CONDOMINIUM,347,45.93,11.87,14401692,197.93
30,Manhattan,Condominium,R4-CONDOMINIUM,121,38.36,12.07,2877913,198.94
31,Manhattan,Condominium,R4-CONDOMINIUM,20,41.51,11.79,1177120,224.38
32,Manhattan,Condominium,R4-CONDOMINIUM,90,34.87,10.67,1778869,179.1
33,Manhattan,Condominium,R4-CONDOMINIUM,408,42.28,10.51,17440967,216.4
34,Manhattan,Condominium,RR-CONDOMINIUM,13,21.88,8.92,273000,88.99
35,Manhattan,Condominium,R4-CONDOMINIUM,12,35.98,11.06,1644520,102.85
36,Manhattan,Condominium,R4-CONDOMINIUM,102,41.51,11.79,2139394,224.38
37,Manhattan,Condominium,R4-CONDOMINIUM,160,35.98,11.06,5369438,183.93
38,Manhattan,Condominium,R9-CONDOMINIUM,29,29.72,8.93,593554,155.83
39,Manhattan,Condominium,R4-CONDOMINIUM,145,42.28,10.51,5925486,239.72
40,Manhattan,Condominium,R4-CONDOMINIUM,113,42.28,10.51,3565007,239.72
41,Manhattan,Condominium,RR-CONDOMINIUM,221,32.91,9.42,5035000,174.9
42,Manhattan,Condominium,R4-CONDOMINIUM,14,34.28,7.75,646323,196.58
43,Manhattan,Condominium,RR-CONDOMINIUM,156,33.74,7.43,3752620,175.07
44,Manhattan,Condominium,R4-CONDOMINIUM,441,41.58,12.13,10253224,222.33
45,Manhattan,Condominium,R9-CONDOMINIUM,11,35.5,9.23,833757,194.18
46,Manhattan,Condominium,RR-CONDOMINIUM,19,29.55,10.92,535945,130.36
47,Manhattan,Condominium,R9-CONDOMINIUM,14,44.58,14.15,521023,229.06
48,Manhattan,Condominium,R4-CONDOMINIUM,14,40.04,11.69,641079,214.26
49,Manhattan,Condominium,R4-CONDOMINIUM,73,37.04,7.68,2642224,216.09
50,Manhattan,Condominium,R4-CONDOMINIUM,21,35.98,11.06,1667895,183.86
51,Manhattan,Condominium,R4-CONDOMINIUM,67,35.98,11.06,1659049,183.87
52,Manhattan,Condominium,R4-CONDOMINIUM,210,32.55,10.06,4427267,152.5
53,Manhattan,Condominium,R4-CONDOMINIUM,9,31.81,11.7,419957,150.36
54,Manhattan,Condominium,R4-CONDOMINIUM,163,34.87,12.0,4385094,169.26
55,Manhattan,Condominium,R4-CONDOMINIUM,22,33.76,11.95,810677,161.88
56,Manhattan,Condominium,R4-CONDOMINIUM,18,31.81,11.7,463422,149.97
57,Manhattan,Condominium,R4-CONDOMINIUM,15,33.76,10.27,606629,174.37
58,Manhattan,Condominium,R4-CONDOMINIUM,15,33.76,10.27,471937,174.36
59,Manhattan,Condominium,R4-CONDOMINIUM,125,33.9,12.0,3698669,162.51
60,Manhattan,Condominium,R4-CONDOMINIUM,49,30.22,11.12,719038,140.59
61,Manhattan,Condominium,R4-CONDOMINIUM,128,42.78,12.14,3551452,231.1
62,Manhattan,Condominium,R4-CONDOMINIUM,133,42.78,12.14,4228810,231.1
63,Manhattan,Condominium,R4-CONDOMINIUM,11,40.74,13.07,1508015,209.03
64,Manhattan,Condominium,R4-CONDOMINIUM,8,28.62,8.06,349520,118.41
65,Manhattan,Condominium,R4-CONDOMINIUM,10,35.98,11.06,572263,172.97
66,Manhattan,Condominium,R4-CONDOMINIUM,27,37.53,10.4,1623812,122.95
67,Manhattan,Condominium,R4-CONDOMINIUM,75,45.23,11.02,4038354,243.97
68,Manhattan,Condominium,R9-CONDOMINIUM,65,37.04,7.68,3303000,161.33
69,Manhattan,Condominium,R4-CONDOMINIUM,14,36.51,9.37,869539,200.01
70,Manhattan,Condominium,R4-CONDOMINIUM,87,42.28,10.51,6904193,239.72
71,Manhattan,Condominium,R4-CONDOMINIUM,26,36.51,9.37,1361478,158.76
72,Manhattan,Condominium,R4-CONDOMINIUM,15,48.88,12.37,549841,206.51
73,Manhattan,Condominium,R4-CONDOMINIUM,12,35.98,11.06,749145,163.93
74,Manhattan,Condominium,R4-CONDOMINIUM,83,44.46,12.3,2874364,242.1
75,Manhattan,Condominium,R4-CONDOMINIUM,80,41.58,12.13,1959927,222.33
76,Manhattan,Condominium,R4-CONDOMINIUM,10,37.84,11.19,746200,153.61
77,Manhattan,Condominium,R4-CONDOMINIUM,38,42.08,11.29,2689014,183.89
78,Manhattan,Condominium,R4-CONDOMINIUM,1,42.84,11.51,83337,158.8
79,Manhattan,Condominium,R4-CONDOMINIUM,30,35.98,11.06,2304776,183.87
80,Manhattan,Condominium,RR-CONDOMINIUM,163,36.05,5.64,5543000,210.66
81,Manhattan,Condominium,R4-CONDOMINIUM,220,45.23,11.02,18304403,255.08
82,Manhattan,Condominium,R4-CONDOMINIUM,311,45.58,12.68,10342871,247.48
83,Manhattan,Condominium,R9-CONDOMINIUM,13,31.97,10.15,433826,118.95
84,Manhattan,Condominium,R9-CONDOMINIUM,11,33.98,10.61,362235,397.55
85,Manhattan,Condominium,R4-CONDOMINIUM,12,35.98,11.06,695965,163.85
86,Manhattan,Condominium,R4-CONDOMINIUM,2,37.84,11.19,338135,183.95
87,Manhattan,Condominium,R4-CONDOMINIUM,20,39.9,12.69,680033,205.67
88,Manhattan,Condominium,R4-CONDOMINIUM,21,35.98,11.06,804916,183.87
89,Manhattan,Condominium,R9-CONDOMINIUM,13,38.71,12.51,537100,170.49
90,Manhattan,Condominium,R4-CONDOMINIUM,9,37.84,11.19,541661,182.93
91,Manhattan,Condominium,R4-CONDOMINIUM,20,37.04,7.68,1054024,216.1
92,Manhattan,Condominium,R4-CONDOMINIUM,19,33.98,10.61,1063569,173.39
93,Manhattan,Condominium,R4-CONDOMINIUM,8,28.62,8.06,548089,138.83
94,Manhattan,Condominium,R4-CONDOMINIUM,18,28.86,8.15,414200,155.5
95,Manhattan,Condominium,R4-CONDOMINIUM,12,31.97,10.15,899071,162.65
96,Manhattan,Condominium,R4-CONDOMINIUM,163,29.94,11.12,2380730,141.0
97,Manhattan,Condominium,R4-CONDOMINIUM,11,28.86,8.15,590235,155.51
98,Manhattan,Condominium,R4-CONDOMINIUM,72,45.01,14.85,2756986,226.95
99,Manhattan,Condominium,R4-CONDOMINIUM,47,33.47,8.04,3367517,184.41
100,Manhattan,Condominium,R4-CONDOMINIUM,30,26.99,5.42,1934354,155.72
101,Manhattan,Condominium,R4-CONDOMINIUM,29,31.97,10.15,1228291,162.67
102,Manhattan,Condominium,R4-CONDOMINIUM,17,26.49,10.0,543164,119.28
103,Manhattan,Condominium,R4-CONDOMINIUM,24,34.97,8.74,2593663,194.06
104,Manhattan,Condominium,R2-CONDOMINIUM,11,24.8,10.0,369778,107.54
105,Manhattan,Condominium,R4-CONDOMINIUM,10,31.18,11.45,663579,147.47
106,Manhattan,Condominium,R4-CONDOMINIUM,31,26.49,9.9,1470122,120.0
107,Manhattan,Condominium,R4-CONDOMINIUM,20,32.77,11.51,441145,158.12
108,Manhattan,Condominium,R4-CONDOMINIUM,10,25.0,10.3,342319,107.01
109,Manhattan,Condominium,R2-CONDOMINIUM,10,29.93,11.17,205647,140.85
110,Manhattan,Condominium,R4-CONDOMINIUM,9,26.59,10.22,291190,118.11
111,Manhattan,Condominium,R4-CONDOMINIUM,8,27.65,9.39,231720,118.59
112,Manhattan,Condominium,R4-CONDOMINIUM,36,33.47,11.91,1863884,160.13
113,Manhattan,Condominium,R4-CONDOMINIUM,46,34.55,11.91,1879573,167.67
114,Manhattan,Condominium,R4-CONDOMINIUM,25,29.55,11.53,1703467,128.0
115,Manhattan,Condominium,R9-CONDOMINIUM,24,26.49,9.9,874873,120.0
116,Manhattan,Condominium,R4-CONDOMINIUM,14,30.76,9.66,856260,157.71
117,Manhattan,Condominium,R4-CONDOMINIUM,13,30.76,9.66,1128175,157.7
118,Manhattan,Condominium,R9-CONDOMINIUM,11,29.55,9.17,373259,152.77
119,Manhattan,Condominium,R4-CONDOMINIUM,10,31.97,10.15,532561,163.15
120,Manhattan,Condominium,R4-CONDOMINIUM,23,31.97,10.15,1896158,162.67
121,Manhattan,Condominium,R4-CONDOMINIUM,57,31.97,10.15,3273218,162.67
122,Manhattan,Condominium,R4-CONDOMINIUM,33,36.03,11.91,2894304,177.94
123,Manhattan,Condominium,R4-CONDOMINIUM,26,37.13,12.19,1696743,183.51
124,Manhattan,Condominium,R4-CONDOMINIUM,64,31.97,10.15,2610545,162.66
125,Manhattan,Condominium,R2-CONDOMINIUM,2,27.13,10.71,68455,118.49
126,Manhattan,Condominium,R4-CONDOMINIUM,15,41.84,12.55,1012984,221.07
127,Manhattan,Condominium,R4-CONDOMINIUM,167,27.59,8.69,3083724,136.23
128,Manhattan,Condominium,R4-CONDOMINIUM,61,34.97,10.0,1522221,184.75
129,Manhattan,Condominium,R4-CONDOMINIUM,23,34.97,5.93,1351667,214.87
130,Manhattan,Condominium,R4-CONDOMINIUM,27,41.84,18.17,1672262,157.26
131,Manhattan,Condominium,R4-CONDOMINIUM,9,24.8,10.5,229200,104.13
132,Manhattan,Condominium,R4-CONDOMINIUM,50,31.97,11.5,2510441,152.6
133,Manhattan,Condominium,R4-CONDOMINIUM,34,31.97,10.15,1471780,162.67
134,Manhattan,Condominium,R4-CONDOMINIUM,10,39.17,10.0,1349113,215.96
135,Manhattan,Condominium,R4-CONDOMINIUM,35,34.84,11.92,3181250,168.97
136,Manhattan,Condominium,R4-CONDOMINIUM,24,30.76,11.0,1312933,147.69
137,Manhattan,Condominium,R4-CONDOMINIUM,66,36.03,11.91,3743931,177.94
138,Manhattan,Condominium,R4-CONDOMINIUM,15,34.55,9.16,1478028,188.03
139,Manhattan,Condominium,R4-CONDOMINIUM,33,29.55,9.17,2056220,152.79
140,Manhattan,Condominium,R4-CONDOMINIUM,4,39.44,10.44,498365,219.55
141,Manhattan,Condominium,R4-CONDOMINIUM,65,37.74,11.46,4287004,198.95
142,Manhattan,Condominium,R4-CONDOMINIUM,28,30.76,11.53,1709490,143.72
143,Manhattan,Condominium,R4-CONDOMINIUM,16,29.55,11.0,700912,129.84
144,Manhattan,Condominium,R4-CONDOMINIUM,6,28.11,9.98,297332,130.91
145,Manhattan,Condominium,R4-CONDOMINIUM,12,29.55,9.17,1052566,152.79
146,Manhattan,Condominium,R4-CONDOMINIUM,31,31.97,10.15,2071241,162.67
147,Manhattan,Condominium,R4-CONDOMINIUM,33,26.5,7.99,1355988,120.73
148,Manhattan,Condominium,R4-CONDOMINIUM,20,30.76,9.66,768779,157.71
149,Manhattan,Condominium,R4-CONDOMINIUM,27,31.97,10.15,1930983,162.66
150,Manhattan,Condominium,R9-CONDOMINIUM,38,28.11,9.98,1340151,130.49
151,Manhattan,Condominium,R4-CONDOMINIUM,8,27.65,10.8,405394,121.62
152,Manhattan,Condominium,R4-CONDOMINIUM,11,36.76,12.29,619091,180.24
153,Manhattan,Condominium,R4-CONDOMINIUM,67,40.83,14.0,3925068,202.66
154,Manhattan,Condominium,R4-CONDOMINIUM,10,32.77,11.51,644837,158.32
155,Manhattan,Condominium,R4-CONDOMINIUM,10,28.2,9.6,327955,134.19
156,Manhattan,Condominium,R4-CONDOMINIUM,16,28.2,9.6,830546,127.61
157,Manhattan,Condominium,R4-CONDOMINIUM,18,31.31,11.53,893028,147.65
158,Manhattan,Condominium,R4-CONDOMINIUM,12,31.31,8.11,658184,156.26
159,Manhattan,Condominium,R4-CONDOMINIUM,39,30.83,10.0,537122,155.67
160,Manhattan,Condominium,RR-CONDOMINIUM,25,30.69,6.47,651688,181.03
161,Manhattan,Condominium,R4-CONDOMINIUM,18,27.17,9.77,257120,125.53
162,Manhattan,Condominium,R4-CONDOMINIUM,80,27.17,10.9,1398505,117.41
163,Manhattan,Condominium,R4-CONDOMINIUM,13,27.65,10.8,330209,118.44
164,Manhattan,Condominium,R4-CONDOMINIUM,10,32.96,11.23,164627,161.69
165,Manhattan,Condominium,R4-CONDOMINIUM,26,25.04,11.29,371883,99.87
166,Manhattan,Condominium,R4-CONDOMINIUM,80,40.74,13.07,1213329,209.03
167,Manhattan,Condominium,R4-CONDOMINIUM,16,38.56,14.2,237364,184.32
168,Manhattan,Condominium,R4-CONDOMINIUM,12,37.99,12.58,144837,192.28
169,Manhattan,Condominium,R4-CONDOMINIUM,10,36.38,12.3,160276,177.58
170,Manhattan,Condominium,R4-CONDOMINIUM,74,33.56,11.95,1019149,160.47
171,Manhattan,Condominium,R4-CONDOMINIUM,32,30.71,11.54,494682,143.27
172,Manhattan,Condominium,R2-CONDOMINIUM,20,20.06,9.2,123347,77.65
173,Manhattan,Condominium,R4-CONDOMINIUM,28,27.65,10.8,335720,121.41
174,Manhattan,Condominium,R4-CONDOMINIUM,24,26.35,11.15,329004,109.96
175,Manhattan,Condominium,R4-CONDOMINIUM,30,25.82,10.7,320892,109.55
176,Manhattan,Condominium,R4-CONDOMINIUM,29,28.68,12.5,707438,121.52
177,Manhattan,Condominium,R4-CONDOMINIUM,8,27.25,10.7,69957,119.47
178,Manhattan,Condominium,R4-CONDOMINIUM,10,38.36,12.82,183096,193.33
179,Manhattan,Condominium,R4-CONDOMINIUM,10,21.68,8.0,92901,99.13
180,Manhattan,Condominium,R4-CONDOMINIUM,35,30.71,11.3,458154,145.06
181,Manhattan,Condominium,R4-CONDOMINIUM,16,36.38,12.82,739925,173.66
182,Manhattan,Condominium,R4-CONDOMINIUM,41,29.11,10.84,471274,137.12
183,Manhattan,Condominium,R4-CONDOMINIUM,4,28.83,7.45,161098,151.82
184,Manhattan,Condominium,R4-CONDOMINIUM,23,27.93,10.78,306968,112.3
185,Manhattan,Condominium,R4-CONDOMINIUM,8,27.65,10.29,142143,125.31
186,Manhattan,Condominium,R4-CONDOMINIUM,25,33.4,12.59,812152,154.79
187,Manhattan,Condominium,R4-CONDOMINIUM,27,41.09,12.82,659935,213.5
188,Manhattan,Condominium,R4-CONDOMINIUM,53,40.71,9.25,1772896,237.64
189,Manhattan,Condominium,R4-CONDOMINIUM,41,38.56,11.65,1066793,193.96
190,Manhattan,Condominium,R4-CONDOMINIUM,6,35.5,9.23,1175372,399.38
191,Manhattan,Condominium,R2-CONDOMINIUM,48,38.02,13.37,1520239,186.58
192,Manhattan,Condominium,R4-CONDOMINIUM,38,36.21,15.17,683295,155.16
193,Manhattan,Condominium,R4-CONDOMINIUM,31,33.61,9.2,1168580,180.39
194,Manhattan,Condominium,R2-CONDOMINIUM,2,37.9,15.66,61983,153.21
195,Manhattan,Condominium,R4-CONDOMINIUM,25,28.52,11.12,483685,115.55
196,Manhattan,Condominium,R4-CONDOMINIUM,23,34.63,11.92,788809,168.14
197,Manhattan,Condominium,R4-CONDOMINIUM,5,35.65,8.19,203341,202.84
198,Manhattan,Condominium,R4-CONDOMINIUM,47,39.89,8.77,1135009,235.22
199,Manhattan,Condominium,R2-CONDOMINIUM,13,27.28,10.9,311056,118.17
200,Manhattan,Condominium,R9-CONDOMINIUM,30,28.06,12.64,322894,110.98
201,Manhattan,Condominium,R4-CONDOMINIUM,16,34.49,13.38,331511,156.33
202,Manhattan,Condominium,R9-CONDOMINIUM,78,38.26,12.0,1728748,198.73
203,Manhattan,Condominium,R4-CONDOMINIUM,83,27.08,10.8,1285827,117.51
204,Manhattan,Condominium,R4-CONDOMINIUM,12,40.45,12.9,319662,208.14
205,Manhattan,Condominium,R2-CONDOMINIUM,35,32.69,11.92,748676,154.5
206,Manhattan,Condominium,R2-CONDOMINIUM,12,31.8,11.2,328715,153.6
207,Manhattan,Condominium,R2-CONDOMINIUM,12,31.8,11.2,236797,153.63
208,Manhattan,Condominium,R4-CONDOMINIUM,17,40.45,13.3,524891,183.26
209,Manhattan,Condominium,R4-CONDOMINIUM,21,27.0,10.71,326419,117.58
210,Manhattan,Condominium,R4-CONDOMINIUM,16,26.91,11.3,309921,112.77
211,Manhattan,Condominium,R4-CONDOMINIUM,1,32.5,11.91,41098,153.31
212,Manhattan,Condominium,R2-CONDOMINIUM,41,29.96,11.5,658357,131.08
213,Manhattan,Condominium,R9-CONDOMINIUM,17,26.77,10.0,357436,121.23
214,Manhattan,Condominium,R2-CONDOMINIUM,12,31.85,10.81,302471,156.93
215,Manhattan,Condominium,R4-CONDOMINIUM,26,33.09,10.31,681259,169.33
216,Manhattan,Condominium,R2-CONDOMINIUM,24,25.28,10.8,217504,105.12
217,Manhattan,Condominium,R2-CONDOMINIUM,18,24.3,10.7,150049,82.25
218,Manhattan,Condominium,R2-CONDOMINIUM,18,27.64,9.0,356378,134.32
219,Manhattan,Condominium,R4-CONDOMINIUM,13,35.5,9.23,819756,194.17
220,Manhattan,Condominium,R4-CONDOMINIUM,6,29.72,9.08,78436,154.74
221,Manhattan,Condominium,R4-CONDOMINIUM,10,35.5,9.23,302552,182.34
222,Manhattan,Condominium,R4-CONDOMINIUM,16,35.86,12.2,334316,174.59
223,Manhattan,Condominium,R4-CONDOMINIUM,17,37.4,13.98,426267,172.35
224,Manhattan,Condominium,R2-CONDOMINIUM,18,38.41,15.62,182184,172.5
225,Manhattan,Condominium,R4-CONDOMINIUM,9,38.02,13.37,137966,169.91
226,Manhattan,Condominium,R4-CONDOMINIUM,16,36.58,11.67,127788,183.63
227,Manhattan,Condominium,R4-CONDOMINIUM,12,40.53,10.31,261826,228.3
228,Manhattan,Condominium,R4-CONDOMINIUM,12,44.04,10.85,233724,249.93
229,Manhattan,Condominium,R4-CONDOMINIUM,8,35.65,8.19,215314,190.54
230,Manhattan,Condominium,R4-CONDOMINIUM,55,35.17,10.18,1458516,184.99
231,Manhattan,Condominium,R4-CONDOMINIUM,16,37.59,10.36,362676,200.17
232,Manhattan,Condominium,R2-CONDOMINIUM,10,31.29,15.32,204048,111.61
233,Manhattan,Condominium,R4-CONDOMINIUM,16,35.17,10.18,669307,183.59
234,Manhattan,Condominium,R4-CONDOMINIUM,63,42.79,11.38,1774005,236.92
235,Manhattan,Condominium,R4-CONDOMINIUM,32,37.27,9.27,660940,205.97
236,Manhattan,Condominium,R4-CONDOMINIUM,20,35.81,12.79,258491,170.01
237,Manhattan,Condominium,R4-CONDOMINIUM,10,35.41,10.41,261525,173.5
238,Manhattan,Condominium,R4-CONDOMINIUM,10,50.51,11.25,242077,294.36
239,Manhattan,Condominium,R4-CONDOMINIUM,13,36.94,8.17,452897,211.79
240,Manhattan,Condominium,R4-CONDOMINIUM,27,30.69,6.47,735391,181.04
241,Manhattan,Condominium,R2-CONDOMINIUM,13,29.62,9.82,397960,148.42
242,Manhattan,Condominium,R4-CONDOMINIUM,40,33.86,6.38,701509,203.93
243,Manhattan,Condominium,R4-CONDOMINIUM,96,39.98,8.01,2985422,241.63
244,Manhattan,Condominium,R4-CONDOMINIUM,11,37.59,10.36,407959,200.17
245,Manhattan,Condominium,R4-CONDOMINIUM,20,35.5,9.23,452501,194.19
246,Manhattan,Condominium,R9-CONDOMINIUM,28,37.27,9.27,498204,205.98
247,Manhattan,Condominium,R9-CONDOMINIUM,66,37.67,10.4,1847924,200.4
248,Manhattan,Condominium,R9-CONDOMINIUM,20,37.59,10.36,315160,200.19
249,Manhattan,Condominium,R4-CONDOMINIUM,35,38.22,7.14,1944240,235.2
250,Manhattan,Condominium,R4-CONDOMINIUM,36,41.28,7.99,1554876,251.38
251,Manhattan,Condominium,R4-CONDOMINIUM,14,40.45,13.3,672723,205.14
252,Manhattan,Condominium,R9-CONDOMINIUM,34,37.97,8.03,1098588,226.64
253,Manhattan,Condominium,R4-CONDOMINIUM,36,44.36,11.94,795198,244.09
254,Manhattan,Condominium,R4-CONDOMINIUM,14,33.05,8.44,360537,182.94
255,Manhattan,Condominium,R4-CONDOMINIUM,10,39.83,11.57,338979,200.17
256,Manhattan,Condominium,R4-CONDOMINIUM,12,39.07,10.39,391377,187.79
257,Manhattan,Condominium,R2-CONDOMINIUM,12,33.91,9.7,345453,179.62
258,Manhattan,Condominium,R9-CONDOMINIUM,28,45.61,7.8,1159330,284.39
259,Manhattan,Condominium,R4-CONDOMINIUM,16,33.66,9.65,292730,178.23
260,Manhattan,Condominium,R9-CONDOMINIUM,155,37.07,11.73,2886979,186.82
261,Manhattan,Condominium,R4-CONDOMINIUM,28,29.59,10.65,406112,142.01
262,Manhattan,Condominium,R9-CONDOMINIUM,55,26.68,11.2,1619781,100.18
263,Manhattan,Condominium,R4-CONDOMINIUM,7,30.83,9.9,1057949,156.49
264,Manhattan,Condominium,R4-CONDOMINIUM,13,26.68,10.65,1266082,110.44
265,Manhattan,Condominium,R4-CONDOMINIUM,18,27.65,10.29,469119,111.17
266,Manhattan,Condominium,R2-CONDOMINIUM,1,43.46,8.77,40171,261.66
267,Manhattan,Condominium,R4-CONDOMINIUM,13,26.68,9.25,617928,126.03
268,Manhattan,Condominium,R4-CONDOMINIUM,14,26.68,9.25,634574,126.02
269,Manhattan,Condominium,R4-CONDOMINIUM,41,41.2,12.82,3329286,210.98
270,Manhattan,Condominium,R9-CONDOMINIUM,20,26.9,9.49,559714,125.82
271,Manhattan,Condominium,R4-CONDOMINIUM,14,26.9,11.0,877839,114.91
272,Manhattan,Condominium,R4-CONDOMINIUM,10,31.97,10.15,490950,163.16
273,Manhattan,Condominium,R4-CONDOMINIUM,37,26.68,10.7,906290,115.54
274,Manhattan,Condominium,R4-CONDOMINIUM,41,36.38,12.19,2029928,178.31
275,Manhattan,Condominium,R4-CONDOMINIUM,52,41.04,13.0,2048518,211.77
276,Manhattan,Condominium,R4-CONDOMINIUM,9,34.97,11.91,823242,170.9
277,Manhattan,Condominium,R4-CONDOMINIUM,10,26.9,9.49,357341,126.09
278,Manhattan,Condominium,R4-CONDOMINIUM,6,26.88,11.0,668405,114.99
279,Manhattan,Condominium,R4-CONDOMINIUM,2,35.38,11.91,215830,173.88
280,Manhattan,Condominium,R4-CONDOMINIUM,4,35.38,9.07,329033,179.43
281,Manhattan,Condominium,R4-CONDOMINIUM,391,46.27,7.5,13321333,317.2
282,Manhattan,Condominium,R4-CONDOMINIUM,44,30.83,11.53,754379,144.22
283,Manhattan,Condominium,R4-CONDOMINIUM,10,30.83,9.26,249414,161.2
284,Manhattan,Condominium,R4-CONDOMINIUM,35,33.19,9.43,584069,158.86
285,Manhattan,Condominium,R4-CONDOMINIUM,15,40.4,13.6,757314,202.49
286,Manhattan,Condominium,R9-CONDOMINIUM,25,26.68,9.25,211635,126.01
287,Manhattan,Condominium,R4-CONDOMINIUM,2,28.51,12.63,55866,119.39
288,Manhattan,Condominium,R4-CONDOMINIUM,14,28.52,9.48,343310,143.03
289,Manhattan,Condominium,R4-CONDOMINIUM,10,26.9,9.49,345188,125.99
290,Manhattan,Condominium,R4-CONDOMINIUM,19,26.88,12.04,517560,107.24
291,Manhattan,Condominium,R4-CONDOMINIUM,14,41.2,8.96,1380614,232.21
292,Manhattan,Condominium,R4-CONDOMINIUM,15,26.88,12.04,307960,107.22
293,Manhattan,Condominium,R4-CONDOMINIUM,29,26.88,12.04,537549,107.25
294,Manhattan,Condominium,R4-CONDOMINIUM,12,35.38,9.07,920008,194.52
295,Manhattan,Condominium,R4-CONDOMINIUM,5,35.38,9.07,825318,194.52
296,Manhattan,Condominium,R4-CONDOMINIUM,15,29.55,11.12,589152,138.17
297,Manhattan,Condominium,R4-CONDOMINIUM,35,26.9,10.2,581511,120.67
298,Manhattan,Condominium,R4-CONDOMINIUM,22,27.17,11.0,364003,116.7
299,Manhattan,Condominium,R4-CONDOMINIUM,26,30.13,9.0,361682,158.21
300,Manhattan,Condominium,R4-CONDOMINIUM,5,24.47,10.3,94017,103.24
301,Manhattan,Condominium,R4-CONDOMINIUM,29,32.49,11.91,2015626,145.83
302,Manhattan,Condominium,R4-CONDOMINIUM,21,29.52,10.67,2031672,134.53
303,Manhattan,Condominium,R4-CONDOMINIUM,9,28.15,11.0,262309,123.77
304,Manhattan,Condominium,R4-CONDOMINIUM,32,45.63,17.02,1625048,215.19
305,Manhattan,Condominium,R4-CONDOMINIUM,15,35.38,11.0,1007235,180.25
306,Manhattan,Condominium,R4-CONDOMINIUM,16,41.2,12.0,1126857,220.52
307,Manhattan,Condominium,R4-CONDOMINIUM,11,29.55,9.17,762273,152.8
308,Manhattan,Condominium,R9-CONDOMINIUM,38,26.5,7.99,385489,133.87
309,Manhattan,Condominium,R2-CONDOMINIUM,27,30.43,10.25,262744,150.92
310,Manhattan,Condominium,R2-CONDOMINIUM,15,25.81,10.64,91218,109.93
311,Manhattan,Condominium,R4-CONDOMINIUM,38,29.38,11.12,609574,122.58
312,Manhattan,Condominium,R4-CONDOMINIUM,18,38.05,12.39,244130,178.05
313,Manhattan,Condominium,R2-CONDOMINIUM,4,26.3,9.14,106186,124.43
314,Manhattan,Condominium,R2-CONDOMINIUM,1,24.88,11.0,99339,101.02
315,Manhattan,Condominium,R4-CONDOMINIUM,11,27.17,10.5,517420,120.3
316,Manhattan,Condominium,R9-CONDOMINIUM,190,26.5,11.0,2046000,112.11
317,Manhattan,Condominium,R4-CONDOMINIUM,11,25.87,10.0,105853,114.99
318,Manhattan,Condominium,R9-CONDOMINIUM,54,25.87,10.0,375929,114.95
319,Manhattan,Condominium,R4-CONDOMINIUM,144,30.92,11.0,1697861,148.83
320,Manhattan,Condominium,R4-CONDOMINIUM,32,31.64,10.7,737611,156.22
